Bulbizarre Bulbasaur
Kecleon Kecleon
Polichombr Shuppet
Branette Banette
Skelénox Duskull
Téraclope Dusclops
Tropius Tropius
Éoko Chimecho
Absol Absol
Okéoké Wynaut
Stalgamin Snorunt
Oniglali Glalie
Obalie Spheal
Phogleur Sealeo
Kaimorse Walrein
Coquiperl Clamperl
Serpang Huntail
Rosabyss Gorebyss
Relicanth Relicanth
Lovdisc Luvdisc
Draby Bagon
Drackhaus Shelgon
Drattak Salamence
Terhal Beldum
Métang Metang
Métalosse Metagross
Regirock Regirock
Regice Regice
Registeel Registeel
Latias Latias
Latios Latios
Kyogre Kyogre
Groudon Groudon
Rayquaza Rayquaza
Jirachi Jirachi
Deoxys Deoxys
Tortipouss Turtwig
Boskara Grotle
Torterra Torterra
Ouisticram Chimchar
Chimpenfeu Monferno
Simiabraz Infernape
Tiplouf Piplup
Prinplouf Prinplup
Pingoléon Empoleon
Étourmi Starly
Étourvol Staravia
Étouraptor Staraptor
Keunotor Bidoof
Castorno Bibarel
Crikzik Kricketot
Mélokrik Kricketune
Lixy Shinx
Luxio Luxio
Luxray Luxray
Rozbouton Budew
Roserade Roserade
Kranidos Cranidos
Charkos Rampardos
Dinoclier Shieldon
Bastiodon Bastiodon
Cheniti Burmy
Cheniselle Wormadam
Papilord Mothim
Apitrini Combee
Apireine Vespiqueen
Pachirisu Pachirisu
Mustébouée Buizel
Mustéflott Floatzel
Ceribou Cherubi
Ceriflor Cherrim
Sancoki Shellos
Tritosor Gastrodon
Capidextre Ambipom
Baudrive Drifloon
Grodrive Drifblim
Laporeille Buneary
Lockpin Lopunny
Magirêve Mismagius
Corboss Honchkrow
Chaglam Glameow
Chaffreux Purugly
Korillon Chingling
Moufouette Stunky
Moufflair Skuntank
Archéomire Bronzor
Archéodong Bronzong
Manzaï Bonsly
Mime Jr.
Ptiravi Happiny
Pijako Chatot
Spiritomb Spiritomb
Griknot Gible
Carmache Gabite
Carchacrok Garchomp
Goinfrex Munchlax
Riolu Riolu
Lucario Lucario
Hippopotas Hippopotas
Hippodocus Hippowdon
Rapion Skorupi
Drascore Drapion
Cradopaud Croagunk
Coatox Toxicroak
Vortente Carnivine
Écayon Finneon
Luminéon Lumineon
Babimanta Mantyke
Blizzi Snover
Blizzaroi Abomasnow
Dimoret Weavile
Magnézone Magnezone
Coudlangue Lickilicky
Rhinastoc Rhyperior
Bouldeneu Tangrowth
Élekable Electivire
Maganon Magmortar
Togekiss Togekiss
Yanméga Yanmega
Phyllali Leafeon
Givrali Glaceon
Scorvol Gliscor
Mammochon Mamoswine
Porygon-Z Porygon-Z
Gallame Gallade
Tarinorme Probopass
Noctunoir Dusknoir
Momartik Froslass
Motisma Rotom
Créhelf Uxie
Créfollet Mesprit
Créfadet Azelf
Dialga Dialga
Palkia Palkia
Heatran Heatran
Regigigas Regigigas
Giratina Giratina
Cresselia Cresselia
Phione Phione
Manaphy Manaphy
Darkrai Darkrai
Shaymin Shaymin
Arceus Arceus
Victini Victini
Vipélierre Snivy
Lianaja Servine
Majaspic Serperior
Gruikui Tepig
Grotichon Pignite
Roitiflam Emboar
Moustillon Oshawott
Mateloutre Dewott
Clamiral Samurott
Ratentif Patrat
Miradar Watchog
Ponchiot Lillipup
Ponchien Herdier
Mastouffe Stoutland
Chacripan Purrloin
Léopardus Liepard
Feuillajou Pansage
Feuiloutan Simisage
Flamajou Pansear
Flamoutan Simisear
Flotajou Panpour
Flotoutan Simipour
Munna Munna
Mushana Musharna
Poichigeon Pidove
Colombeau Tranquill
Déflaisan Unfezant
Zébibron Blitzle
Zéblitz Zebstrika
Nodulithe Roggenrola
Géolithe Boldore
Gigalithe Gigalith
Chovsourir Woobat
Rhinolove Swoobat
Rototaupe Drilbur
Minotaupe Excadrill
Nanméouïe Audino
Charpenti Timburr
Ouvrifier Gurdurr
Bétochef Conkeldurr
Tritonde Tympole
Batracné Palpitoad
Crapustule Seismitoad
Judokrak Throh
Karaclée Sawk
Larveyette Sewaddle
Couverdure Swadloon
Manternel Leavanny
Venipatte Venipede
Scobolide Whirlipede
Brutapode Scolipede
Doudouvet Cottonee
Farfaduvet Whimsicott
Chlorobule Petilil
Fragilady Lilligant
Bargantua Basculin
Mascaïman Sandile
Escroco Krokorok
Crocorible Krookodile
Darumarond Darumaka
Darumacho Darmanitan
Maracachi Maractus
Crabicoque Dwebble
Crabaraque Crustle
Baggiguane Scraggy
Baggaïd Scrafty
Cryptéro Sigilyph
Tutafeh Yamask
Tutankafer Cofagrigus
Carapagos Tirtouga
Mégapagos Carracosta
Arkéapti Archen
Aéroptéryx Archeops
Miamiasme Trubbish
Miasmax Garbodor
Zorua Zorua
Zoroark Zoroark
Chinchidou Minccino
Pashmilla Cinccino
Scrutella Gothita
Mesmérella Gothorita
Sidérella Gothitelle
Nucléos Solosis
Méios Duosion
Symbios Reuniclus
Couaneton Ducklett
Lakmécygne Swanna
Sorbébé Vanillite
Sorboul Vanillish
Sorbouboul Vanilluxe
Vivaldaim Deerling
Haydaim Sawsbuck
Emolga Emolga
Carabing Karrablast
Lançargot Escavalier
Trompignon Foongus
Gaulet Amoonguss
Viskuse Frillish
Moyade Jellicent
Mamanbo Alomomola
Statitik Joltik
Mygavolt Galvantula
Grindur Ferroseed
Noacier Ferrothorn
Tic Klink
Clic Klang
Cliticlic Klinklang
Anchwatt Tynamo
Lampéroie Eelektrik
Ohmassacre Eelektross
Lewsor Elgyem
Neitram Beheeyem
Funécire Litwick
Mélancolux Lampent
Lugulabre Chandelure
Coupenotte Axew
Incisache Fraxure
Tranchodon Haxorus
Polarhume Cubchoo
Polagriffe Beartic
Hexagel Cryogonal
Escargaume Shelmet
Limaspeed Accelgor
Limonde Stunfisk
Kungfouine Mienfoo
Shaofouine Mienshao
Drakkarmin Druddigon
Gringolem Golett
Golemastoc Golurk
Scalpion Pawniard
Scalproie Bisharp
Frison Bouffalant
Furaiglon Rufflet
Gueriaigle Braviary
Vostourno Vullaby
Vaututrice Mandibuzz
Aflamanoir Heatmor
Fermite Durant
Solochi Deino
Diamat Zweilous
Trioxhydre Hydreigon
Pyronille Larvesta
Pyrax Volcarona
Cobaltium Cobalion
Terrakium Terrakion
Viridium Virizion
Boréas Tornadus
Fulguris Thundurus
Reshiram Reshiram
Zekrom Zekrom
Démétéros Landorus
Kyurem Kyurem
Keldeo Keldeo
Meloetta Meloetta
Genesect Genesect
Marisson Chespin
Boguérisse Quilladin
Blindépique Chesnaught
Feunnec Fennekin
Roussil Braixen
Goupelin Delphox
Grenousse Froakie
Croâporal Frogadier
Amphinobi Greninja
Sapereau Bunnelby
Excavarenne Diggersby
Passerouge Fletchling
Braisillon Fletchinder
Flambusard Talonflame
Lépidonille Scatterbug
Pérégrain Spewpa
Prismillon Vivillon
Hélionceau Litleo
Némélios Pyroar
Flabébé Flabébé
Floette Floette
Florges Florges
Cabriolaine Skiddo
Chevroum Gogoat
Pandespiègle Pancham
Pandarbare Pangoro
Couafarel Furfrou
Psystigri Espurr
Mistigrix Meowstic
Monorpale Honedge
Dimoclès Doublade
Exagide Aegislash
Fluvetin Spritzee
Cocotine Aromatisse
Sucroquin Swirlix
Cupcanaille Slurpuff
Sepiatop Inkay
Sepiatroce Malamar
Opermine Binacle
Golgopathe Barbaracle
Venalgue Skrelp
Kravarech Dragalge
Flingouste Clauncher
Gamblast Clawitzer
Galvaran Helioptile
Iguolta Heliolisk
Ptyranidur Tyrunt
Rexillius Tyrantrum
Amagara Amaura
Dragmara Aurorus
Nymphali Sylveon
Brutalibré Hawlucha
Dedenne Dedenne
Strassie Carbink
Mucuscule Goomy
Colimucus Sliggoo
Muplodocus Goodra
Trousselin Klefki
Brocélôme Phantump
Desséliande Trevenant
Pitrouille Pumpkaboo
Banshitrouye Gourgeist
Grelaçon Bergmite
Séracrawl Avalugg
Sonistrelle Noibat
Bruyverne Noivern
Xerneas Xerneas
Yveltal Yveltal
Zygarde Zygarde
Diancie Diancie
Hoopa Hoopa
Volcanion Volcanion
